Player,Tm,G,PTS
Álex Abrines,OKC,31,5.3
Steven Adams,OKC,80,13.9
Deonte Burton,OKC,32,2.6
Tyler Davis,OKC,1,0.0
Hamidou Diallo,OKC,51,3.7
Jawun Evans,OKC,1,0.0
Raymond Felton,OKC,33,4.3
Terrance Ferguson,OKC,74,6.9
Paul George,OKC,77,28.0
Jerami Grant,OKC,80,13.6
Donte Grantham,OKC,3,0.0
Timothé Luwawu-Cabarrot,OKC,21,1.7
Markieff Morris,OKC,24,6.5
Abdel Nader,OKC,61,4.0
Nerlens Noel,OKC,77,4.9
Patrick Patterson,OKC,63,3.6
Dennis Schröder,OKC,79,15.5
Russell Westbrook,OKC,73,22.9
